"DATE","TIME PERIOD","HICP - Overall index (ICP.M.CZ.N.000000.4.ANR)"
"1996-01-31","1996Jan","9.4"
"1996-02-29","1996Feb","8.9"
"1996-03-31","1996Mar","9.1"
"1996-04-30","1996Apr","9.0"
"1996-05-31","1996May","9.0"
"1996-06-30","1996Jun","8.9"
"1996-07-31","1996Jul","9.8"
"1996-08-31","1996Aug","10.0"
"1996-09-30","1996Sep","9.2"
"1996-10-31","1996Oct","8.7"
"1996-11-30","1996Nov","8.5"
"1996-12-31","1996Dec","8.4"
"1997-01-31","1997Jan","7.2"
"1997-02-28","1997Feb","7.0"
"1997-03-31","1997Mar","6.6"
"1997-04-30","1997Apr","6.4"
"1997-05-31","1997May","6.0"
"1997-06-30","1997Jun","6.5"
"1997-07-31","1997Jul","8.8"
"1997-08-31","1997Aug","9.4"
"1997-09-30","1997Sep","9.6"
"1997-10-31","1997Oct","9.7"
"1997-11-30","1997Nov","9.7"
"1997-12-31","1997Dec","9.4"
"1998-01-31","1998Jan","12.1"
"1998-02-28","1998Feb","12.4"
"1998-03-31","1998Mar","12.4"
"1998-04-30","1998Apr","12.0"
"1998-05-31","1998May","12.0"
"1998-06-30","1998Jun","11.0"
"1998-07-31","1998Jul","9.6"
"1998-08-31","1998Aug","8.4"
"1998-09-30","1998Sep","8.0"
"1998-10-31","1998Oct","7.2"
"1998-11-30","1998Nov","6.4"
"1998-12-31","1998Dec","5.9"
"1999-01-31","1999Jan","3.1"
"1999-02-28","1999Feb","2.5"
"1999-03-31","1999Mar","2.0"
"1999-04-30","1999Apr","2.0"
"1999-05-31","1999May","1.9"
"1999-06-30","1999Jun","1.7"
"1999-07-31","1999Jul","0.8"
"1999-08-31","1999Aug","1.1"
"1999-09-30","1999Sep","1.0"
"1999-10-31","1999Oct","1.3"
"1999-11-30","1999Nov","1.9"
"1999-12-31","1999Dec","2.4"
"2000-01-31","2000Jan","3.4"
"2000-02-29","2000Feb","3.5"
"2000-03-31","2000Mar","3.8"
"2000-04-30","2000Apr","3.4"
"2000-05-31","2000May","3.7"
"2000-06-30","2000Jun","4.1"
"2000-07-31","2000Jul","4.1"
"2000-08-31","2000Aug","4.2"
"2000-09-30","2000Sep","4.2"
"2000-10-31","2000Oct","4.5"
"2000-11-30","2000Nov","4.3"
"2000-12-31","2000Dec","4.0"
"2001-01-31","2001Jan","4.1"
"2001-02-28","2001Feb","4.0"
"2001-03-31","2001Mar","4.1"
"2001-04-30","2001Apr","4.7"
"2001-05-31","2001May","5.1"
"2001-06-30","2001Jun","5.3"
"2001-07-31","2001Jul","5.4"
"2001-08-31","2001Aug","5.1"
"2001-09-30","2001Sep","4.6"
"2001-10-31","2001Oct","4.3"
"2001-11-30","2001Nov","3.9"
"2001-12-31","2001Dec","3.9"
"2002-01-31","2002Jan","3.4"
"2002-02-28","2002Feb","3.4"
"2002-03-31","2002Mar","3.3"
"2002-04-30","2002Apr","2.9"
"2002-05-31","2002May","2.1"
"2002-06-30","2002Jun","0.9"
"2002-07-31","2002Jul","0.3"
"2002-08-31","2002Aug","0.3"
"2002-09-30","2002Sep","0.4"
"2002-10-31","2002Oct","0.1"
"2002-11-30","2002Nov","0.3"
"2002-12-31","2002Dec","0.1"
"2003-01-31","2003Jan","-0.8"
"2003-02-28","2003Feb","-0.5"
"2003-03-31","2003Mar","-0.6"
"2003-04-30","2003Apr","-0.4"
"2003-05-31","2003May","-0.3"
"2003-06-30","2003Jun","0.0"
"2003-07-31","2003Jul","-0.3"
"2003-08-31","2003Aug","-0.3"
"2003-09-30","2003Sep","0.0"
"2003-10-31","2003Oct","0.4"
"2003-11-30","2003Nov","0.8"
"2003-12-31","2003Dec","1.0"
"2004-01-31","2004Jan","2.1"
"2004-02-29","2004Feb","1.9"
"2004-03-31","2004Mar","2.2"
"2004-04-30","2004Apr","2.0"
"2004-05-31","2004May","2.6"
"2004-06-30","2004Jun","2.8"
"2004-07-31","2004Jul","3.1"
"2004-08-31","2004Aug","3.2"
"2004-09-30","2004Sep","2.8"
"2004-10-31","2004Oct","3.2"
"2004-11-30","2004Nov","2.8"
"2004-12-31","2004Dec","2.4"
"2005-01-31","2005Jan","1.5"
"2005-02-28","2005Feb","1.4"
"2005-03-31","2005Mar","1.3"
"2005-04-30","2005Apr","1.4"
"2005-05-31","2005May","0.9"
"2005-06-30","2005Jun","1.2"
"2005-07-31","2005Jul","1.4"
"2005-08-31","2005Aug","1.4"
"2005-09-30","2005Sep","2.0"
"2005-10-31","2005Oct","2.4"
"2005-11-30","2005Nov","2.1"
"2005-12-31","2005Dec","2.0"
"2006-01-31","2006Jan","2.5"
"2006-02-28","2006Feb","2.5"
"2006-03-31","2006Mar","2.4"
"2006-04-30","2006Apr","2.3"
"2006-05-31","2006May","2.8"
"2006-06-30","2006Jun","2.3"
"2006-07-31","2006Jul","2.3"
"2006-08-31","2006Aug","2.6"
"2006-09-30","2006Sep","2.2"
"2006-10-31","2006Oct","0.8"
"2006-11-30","2006Nov","1.0"
"2006-12-31","2006Dec","1.5"
"2007-01-31","2007Jan","1.3"
"2007-02-28","2007Feb","1.6"
"2007-03-31","2007Mar","2.1"
"2007-04-30","2007Apr","2.5"
"2007-05-31","2007May","2.4"
"2007-06-30","2007Jun","2.6"
"2007-07-31","2007Jul","2.6"
"2007-08-31","2007Aug","2.6"
"2007-09-30","2007Sep","2.9"
"2007-10-31","2007Oct","4.0"
"2007-11-30","2007Nov","5.2"
"2007-12-31","2007Dec","5.4"
"2008-01-31","2008Jan","7.9"
"2008-02-29","2008Feb","7.7"
"2008-03-31","2008Mar","7.1"
"2008-04-30","2008Apr","6.8"
"2008-05-31","2008May","6.8"
"2008-06-30","2008Jun","6.7"
"2008-07-31","2008Jul","6.8"
"2008-08-31","2008Aug","6.3"
"2008-09-30","2008Sep","6.3"
"2008-10-31","2008Oct","5.8"
"2008-11-30","2008Nov","4.1"
"2008-12-31","2008Dec","3.3"
"2009-01-31","2009Jan","1.4"
"2009-02-28","2009Feb","1.3"
"2009-03-31","2009Mar","1.8"
"2009-04-30","2009Apr","1.2"
"2009-05-31","2009May","1.0"
"2009-06-30","2009Jun","0.8"
"2009-07-31","2009Jul","-0.1"
"2009-08-31","2009Aug","0.0"
"2009-09-30","2009Sep","-0.3"
"2009-10-31","2009Oct","-0.5"
"2009-11-30","2009Nov","0.1"
"2009-12-31","2009Dec","0.6"
"2010-01-31","2010Jan","0.2"
"2010-02-28","2010Feb","0.3"
"2010-03-31","2010Mar","0.3"
"2010-04-30","2010Apr","0.9"
"2010-05-31","2010May","1.0"
"2010-06-30","2010Jun","0.9"
"2010-07-31","2010Jul","1.6"
"2010-08-31","2010Aug","1.5"
"2010-09-30","2010Sep","1.9"
"2010-10-31","2010Oct","1.7"
"2010-11-30","2010Nov","1.9"
"2010-12-31","2010Dec","2.3"
"2011-01-31","2011Jan","2.0"
"2011-02-28","2011Feb","2.0"
"2011-03-31","2011Mar","1.8"
"2011-04-30","2011Apr","1.6"
"2011-05-31","2011May","1.9"
"2011-06-30","2011Jun","2.0"
"2011-07-31","2011Jul","1.9"
"2011-08-31","2011Aug","2.0"
"2011-09-30","2011Sep","2.2"
"2011-10-31","2011Oct","2.7"
"2011-11-30","2011Nov","2.9"
"2011-12-31","2011Dec","2.8"
"2012-01-31","2012Jan","3.8"
"2012-02-29","2012Feb","3.9"
"2012-03-31","2012Mar","4.1"
"2012-04-30","2012Apr","3.9"
"2012-05-31","2012May","3.6"
"2012-06-30","2012Jun","3.8"
"2012-07-31","2012Jul","3.4"
"2012-08-31","2012Aug","3.5"
"2012-09-30","2012Sep","3.5"
"2012-10-31","2012Oct","3.6"
"2012-11-30","2012Nov","2.8"
"2012-12-31","2012Dec","2.4"
"2013-01-31","2013Jan","2.0"
"2013-02-28","2013Feb","1.7"
"2013-03-31","2013Mar","1.5"
"2013-04-30","2013Apr","1.7"
"2013-05-31","2013May","1.2"
"2013-06-30","2013Jun","1.5"
"2013-07-31","2013Jul","1.4"
"2013-08-31","2013Aug","1.2"
"2013-09-30","2013Sep","1.0"
"2013-10-31","2013Oct","0.8"
"2013-11-30","2013Nov","1.0"
"2013-12-31","2013Dec","1.5"
"2014-01-31","2014Jan","0.3"
"2014-02-28","2014Feb","0.3"
"2014-03-31","2014Mar","0.3"
"2014-04-30","2014Apr","0.1"
"2014-05-31","2014May","0.5"
"2014-06-30","2014Jun","0.0"
"2014-07-31","2014Jul","0.5"
"2014-08-31","2014Aug","0.7"
"2014-09-30","2014Sep","0.8"
"2014-10-31","2014Oct","0.8"
"2014-11-30","2014Nov","0.6"
"2014-12-31","2014Dec","0.0"
"2015-01-31","2015Jan","-0.1"
"2015-02-28","2015Feb","0.0"
"2015-03-31","2015Mar","0.1"
"2015-04-30","2015Apr","0.5"
"2015-05-31","2015May","0.7"
"2015-06-30","2015Jun","0.9"
"2015-07-31","2015Jul","0.5"
"2015-08-31","2015Aug","0.2"
"2015-09-30","2015Sep","0.3"
"2015-10-31","2015Oct","0.1"
"2015-11-30","2015Nov","0.0"
"2015-12-31","2015Dec","-0.1"
"2016-01-31","2016Jan","0.5"
"2016-02-29","2016Feb","0.5"
"2016-03-31","2016Mar","0.3"
"2016-04-30","2016Apr","0.5"
"2016-05-31","2016May","0.0"
"2016-06-30","2016Jun","-0.1"
"2016-07-31","2016Jul","0.5"
"2016-08-31","2016Aug","0.6"
"2016-09-30","2016Sep","0.5"
"2016-10-31","2016Oct","0.8"
"2016-11-30","2016Nov","1.6"
"2016-12-31","2016Dec","2.1"
"2017-01-31","2017Jan","2.3"
"2017-02-28","2017Feb","2.6"
"2017-03-31","2017Mar","2.6"
"2017-04-30","2017Apr","2.1"
"2017-05-31","2017May","2.5"
"2017-06-30","2017Jun","2.4"
"2017-07-31","2017Jul","2.4"
"2017-08-31","2017Aug","2.4"
"2017-09-30","2017Sep","2.5"
"2017-10-31","2017Oct","2.8"
"2017-11-30","2017Nov","2.5"
"2017-12-31","2017Dec","2.2"
"2018-01-31","2018Jan","2.1"
"2018-02-28","2018Feb","1.6"
"2018-03-31","2018Mar","1.6"
"2018-04-30","2018Apr","1.8"
"2018-05-31","2018May","2.0"
"2018-06-30","2018Jun","2.4"
"2018-07-31","2018Jul","2.2"
"2018-08-31","2018Aug","2.4"
"2018-09-30","2018Sep","2.1"
"2018-10-31","2018Oct","2.0"
"2018-11-30","2018Nov","1.6"
"2018-12-31","2018Dec","1.6"
"2019-01-31","2019Jan","2.0"
"2019-02-28","2019Feb","2.4"
"2019-03-31","2019Mar","2.6"
"2019-04-30","2019Apr","2.4"
"2019-05-31","2019May","2.6"
"2019-06-30","2019Jun","2.4"
"2019-07-31","2019Jul","2.6"
"2019-08-31","2019Aug","2.6"
"2019-09-30","2019Sep","2.6"
"2019-10-31","2019Oct","2.6"
"2019-11-30","2019Nov","3.0"
"2019-12-31","2019Dec","3.2"
"2020-01-31","2020Jan","3.8"
"2020-02-29","2020Feb","3.7"
"2020-03-31","2020Mar","3.6"
"2020-04-30","2020Apr","3.3"
"2020-05-31","2020May","3.1"
"2020-06-30","2020Jun","3.4"
"2020-07-31","2020Jul","3.6"
"2020-08-31","2020Aug","3.5"
"2020-09-30","2020Sep","3.3"
"2020-10-31","2020Oct","2.9"
"2020-11-30","2020Nov","2.8"
"2020-12-31","2020Dec","2.4"
"2021-01-31","2021Jan","2.2"
"2021-02-28","2021Feb","2.1"
"2021-03-31","2021Mar","2.3"
"2021-04-30","2021Apr","3.1"
"2021-05-31","2021May","2.7"
"2021-06-30","2021Jun","2.5"
"2021-07-31","2021Jul","2.7"
"2021-08-31","2021Aug","3.1"
"2021-09-30","2021Sep","4.0"
"2021-10-31","2021Oct","4.8"
"2021-11-30","2021Nov","4.8"
"2021-12-31","2021Dec","5.4"
"2022-01-31","2022Jan","8.8"
"2022-02-28","2022Feb","10.0"
"2022-03-31","2022Mar","11.9"
"2022-04-30","2022Apr","13.2"
"2022-05-31","2022May","15.2"
"2022-06-30","2022Jun","16.6"
"2022-07-31","2022Jul","17.3"
"2022-08-31","2022Aug","17.1"
"2022-09-30","2022Sep","17.8"
"2022-10-31","2022Oct","15.5"
"2022-11-30","2022Nov","17.2"
"2022-12-31","2022Dec","16.8"
"2023-01-31","2023Jan","19.1"
"2023-02-28","2023Feb","18.4"
"2023-03-31","2023Mar","16.5"
"2023-04-30","2023Apr","14.3"
"2023-05-31","2023May","12.5"
"2023-06-30","2023Jun","11.2"
"2023-07-31","2023Jul","10.2"
"2023-08-31","2023Aug","10.1"
"2023-09-30","2023Sep","8.3"
"2023-10-31","2023Oct","9.5"
"2023-11-30","2023Nov","8.0"
"2023-12-31","2023Dec","7.6"
"2024-01-31","2024Jan","2.7"
"2024-02-29","2024Feb","2.2"
"2024-03-31","2024Mar","2.2"
"2024-04-30","2024Apr","3.1"
"2024-05-31","2024May","2.8"
"2024-06-30","2024Jun","2.2"
"2024-07-31","2024Jul","2.5"
"2024-08-31","2024Aug","2.4"
"2024-09-30","2024Sep","2.8"
